관광지,지역_구역,위도,경도
해운대해수욕장,부산,35.1603601,129.1619551
송정해수욕장,부산,35.164072,129.196617
광안리해변 테마거리,부산,35.157,129.119
부산 송도해수욕장,부산,35.073327,129.017698
서울숲,서울,37.541144,127.041364
롯데월드타워 서울스카이,서울,37.511558,127.104757
롯데월드 어드벤처,서울,37.511558,127.104757
남산서울타워,서울,37.551169,126.987031
청와대 앞길,서울,37.580451,126.976695
경복궁,서울,37.578592,126.976809
익선동,서울,37.576809,126.986827
창경궁,서울,37.5781036,126.9995288
경희궁,서울,37.5698403,126.9722392
서촌마을,서울,37.577017,126.967817
덕수궁,서울,37.5635539,126.9746926
동대문디자인플라자(DDP),서울,37.566295,127.009444
창덕궁과 후원 [유네스코 세계유산],서울,37.5794091,126.9941764
청와대 앞길,서울,37.581795,126.976916
스타필드 코엑스몰,서울,37.513133,127.059236
국립세종수목원,세종,36.503086,127.258683
장생포 고래문화마을,울산,35.513672,129.460363
대왕암공원,울산,35.513201,129.4186479
태화강 국가정원,울산,35.5553554,129.3084052
영남 알프스,울산,35.6318034,129.1842254
강화 원도심 스토리워크,인천,37.7451404,126.4917865
송도 센트럴파크,인천,37.393695,126.639674
송월동 동화마을,인천,37.4769642,126.6287155
인천 차이나타운,인천,37.47294,126.618979
백령도,인천,37.100694,124.718414
대청도,인천,37.100694,124.718414
천은사 상생의 길 및 소나무숲길 - 모두 행복하게 살자 – ,전남,35.247193,127.310778
죽녹원,전남,35.3208249,126.9956195
목포근대역사관 2관,전남,34.803662,126.430269
목포근대역사관 1관,전남,34.802714,126.439603
목포 해상케이블카,전남,34.810791,126.391134
순천만습지 (구 순천만자연생태공원),전남,34.9408942,127.5133584
한려해상국립공원 (오동도),전남,34.7619969,127.6451854
엑스포박람회장(엑스포해양공원),전남,34.747688,127.738474
돌산도,전남,34.7439886,127.6890569
여수 해상케이블카,전남,34.7439886,127.6890569
섬진강기차마을,전남,35.2114424,127.3017436
고창 운곡람사르습지,전북,35.449213,126.670007
고군산군도,전북,36.156255,126.595598
국립태권도원,전북,36.013978,127.6404499
무주 반디랜드,전북,36.013978,127.6404499
익산 왕궁리유적 [유네스코 세계유산],전북,35.9821296,127.0234255
전북 전주 한옥마을 [슬로시티],전북,35.815365,127.149908
마이산도립공원,전북,35.7975643,127.4217409
내장산,전북,35.5611057,126.867511
우도(해양도립공원),제주,33.506914,126.942496
비자림,제주,33.4890341,126.7963674
제주돌문화공원,제주,33.5277481,126.6579808
제주 올레길 걷기 여행,제주,33.248146,126.561715
한라산,제주,33.361511,126.523897
성산 일출봉,제주,33.507078,126.953601
공주 공산성 [유네스코 세계유산],충남,36.4561222,127.109785
대천해수욕장,충남,36.321859,126.548884
서동공원과 궁남지,충남,36.2807687,126.9021132
수덕사(예산),충남,36.778921,126.713097
꽃지해수욕장,충남,36.692642,126.287665
서산 해미읍성,충남,36.7964427,126.4191351
공주 무령왕릉과 왕릉원[유네스코 세계유산],충남,36.449755,127.118837
관북리유적과 부소산성 [유네스코 세계유산],충남,36.2682389,126.9181725
만천하 스카이워크,충북,36.983473,128.4053
단양강 잔도,충북,37.036886,128.442855
도담삼봉,충북,36.98579,128.3485
속리산테마파크모노레일,충북,36.491496,127.724228
보은 법주사 [유네스코 세계유산],충북,36.486155,127.849222
충주 탄금호 무지개길,충북,36.988786,127.974026
중앙탑공원(충주),충북,36.921496,127.99857
청풍호반케이블카,충북,37.080382,128.271062
